"id-mapa";"anio";"mes";"dia";"fecha";"franja";"tipo";"subtipo";"uso_arma";"uso_moto";"barrio";"comuna";"latitud";"longitud";"cantidad"
110639;2021;"OCTUBRE";"MIERCOLES";"2021-10-06";0;"Hurto";"Hurto total";"NO";"NO";"VELEZ SARSFIELD";10;-34.631129;-58.489377;1
110640;2021;"OCTUBRE";"JUEVES";"2021-10-07";23;"Robo";"Robo total";"NO";"NO";"VELEZ SARSFIELD";10;-34.624628;-58.501039;1
110641;2021;"OCTUBRE";"MIERCOLES";"2021-10-06";12;"Robo";"Robo total";"SI";"NO";"MONTE CASTRO";10;-34.623213;-58.510132;1
110642;2021;"OCTUBRE";"JUEVES";"2021-10-07";20;"Robo";"Robo total";"NO";"NO";"VELEZ SARSFIELD";10;-34.627172;-58.498928;1
110643;2021;"OCTUBRE";"SABADO";"2021-10-09";11;"Hurto";"Hurto total";"NO";"NO";"FLORESTA";10;-34.626978;-58.483313;1
110644;2021;"OCTUBRE";"SABADO";"2021-10-09";12;"Hurto";"Hurto total";"NO";"NO";"FLORESTA";10;-34.625951;-58.492422;1
110645;2021;"OCTUBRE";"SABADO";"2021-10-09";21;"Robo";"Robo total";"SI";"NO";"MONTE CASTRO";10;-34.616364;-58.495226;1
110646;2021;"OCTUBRE";"LUNES";"2021-10-11";0;"Hurto";"Hurto total";"NO";"NO";"FLORESTA";10;-34.629283;-58.488232;1
110647;2021;"OCTUBRE";"DOMINGO";"2021-10-10";18;"Hurto";"Hurto total";"NO";"NO";"MONTE CASTRO";10;-34.623535;-58.510744;1
110648;2021;"OCTUBRE";"SABADO";"2021-10-09";15;"Hurto";"Hurto total";"NO";"NO";"MONTE CASTRO";10;-34.623535;-58.510744;1
110649;2021;"SEPTIEMBRE";"VIERNES";"2021-09-17";17;"Hurto";"Hurto total";"NO";"NO";"FLORESTA";10;-34.627578;-58.482989;1
110650;2021;"OCTUBRE";"DOMINGO";"2021-10-10";12;"Hurto";"Hurto total";"NO";"NO";"FLORESTA";10;-34.625002;-58.484389;1
110651;2021;"OCTUBRE";"MARTES";"2021-10-12";7;"Robo";"Robo total";"NO";"NO";"MONTE CASTRO";10;-34.615398;-58.49977;1
110652;2021;"OCTUBRE";"SABADO";"2021-10-09";4;"Robo";"Robo total";"NO";"NO";"VELEZ SARSFIELD";10;-34.627606;-58.490498;1
110653;2021;"OCTUBRE";"MARTES";"2021-10-12";23;"Hurto";"Hurto automotor";"NO";"NO";"MONTE CASTRO";10;-34.622689;-58.510973;1
110654;2021;"OCTUBRE";"MARTES";"2021-10-12";21;"Hurto";"Hurto total";"NO";"NO";"MONTE CASTRO";10;-34.620688;-58.50417;1
110655;2021;"OCTUBRE";"MARTES";"2021-10-12";20;"Hurto";"Hurto total";"NO";"NO";"MONTE CASTRO";10;-34.616998;-58.51068;1
110656;2021;"OCTUBRE";"JUEVES";"2021-10-14";11;"Robo";"Robo total";"NO";"SI";"VELEZ SARSFIELD";10;-34.632863;-58.490708;1
110657;2021;"OCTUBRE";"JUEVES";"2021-10-14";13;"Hurto";"Hurto automotor";"NO";"NO";"VELEZ SARSFIELD";10;-34.627724;-58.491772;1
110658;2021;"OCTUBRE";"MARTES";"2021-10-12";18;"Robo";"Robo total";"NO";"NO";"FLORESTA";10;-34.620032;-58.492363;1
110659;2021;"OCTUBRE";"JUEVES";"2021-10-14";8;"Robo";"Robo total";"NO";"SI";"FLORESTA";10;-34.630768;-58.479448;1
110660;2021;"OCTUBRE";"VIERNES";"2021-10-15";13;"Robo";"Robo total";"NO";"NO";"VELEZ SARSFIELD";10;-34.629194;-58.494312;1
