"id-mapa";"anio";"mes";"dia";"fecha";"franja";"tipo";"subtipo";"uso_arma";"uso_moto";"barrio";"comuna";"latitud";"longitud";"cantidad"
42436;2022;"SEPTIEMBRE";"JUEVES";"2022-09-08";12;"Hurto";"Hurto total";"NO";"NO";"CHACARITA";15;-34.583883;-58.45621;1
42437;2022;"SEPTIEMBRE";"JUEVES";"2022-09-22";20;"Robo";"Robo total";"NO";"NO";"PATERNAL";15;-34.600986;-58.46115;1
42438;2022;"SEPTIEMBRE";"MARTES";"2022-09-20";6;"Robo";"Robo total";"NO";"NO";"CHACARITA";15;-34.586527;-58.449999;1
42439;2022;"SEPTIEMBRE";"LUNES";"2022-09-26";6;"Robo";"Robo total";"SI";"NO";"CHACARITA";15;-34.58744;-58.453898;1
42440;2022;"SEPTIEMBRE";"MARTES";"2022-09-27";18;"Hurto";"Hurto total";"NO";"NO";"VILLA GRAL. MITRE";11;-34.6022747;-58.46728895;1
42441;2022;"SEPTIEMBRE";"JUEVES";"2022-09-29";16;"Robo";"Robo total";"NO";"NO";"CHACARITA";15;-34.582686;-58.451618;1
42442;2022;"OCTUBRE";"LUNES";"2022-10-03";14;"Hurto";"Hurto total";"NO";"NO";"PATERNAL";15;-34.5983;-58.463818;1
42443;2022;"OCTUBRE";"MARTES";"2022-10-04";5;"Hurto";"Hurto total";"NO";"NO";"BALVANERA";3;-34.612833;-58.411549;1
42444;2022;"OCTUBRE";"MARTES";"2022-10-11";11;"Robo";"Robo total";"NO";"NO";"PATERNAL";15;-34.600979;-58.467581;1
42445;2022;"OCTUBRE";"MIERCOLES";"2022-10-12";19;"Hurto";"Hurto total";"NO";"NO";"CHACARITA";15;-34.587198;-58.45503;1
42446;2022;"OCTUBRE";"LUNES";"2022-10-17";0;"Hurto";"Hurto total";"NO";"NO";"CHACARITA";15;-34.59035;-58.44439;1
42447;2022;"OCTUBRE";"LUNES";"2022-10-17";0;"Robo";"Robo total";"NO";"NO";"PATERNAL";15;-34.597953;-58.45816;1
42448;2022;"OCTUBRE";"LUNES";"2022-10-24";6;"Robo";"Robo total";"NO";"NO";"CHACARITA";15;-34.587601;-58.440159;1
42449;2022;"OCTUBRE";"VIERNES";"2022-10-21";20;"Robo";"Robo total";"NO";"NO";"CHACARITA";15;-34.580756;-58.457984;1
42450;2022;"OCTUBRE";"VIERNES";"2022-10-28";7;"Robo";"Robo total";"NO";"NO";"CHACARITA";15;-34.591827;-58.445952;1
42451;2022;"OCTUBRE";"LUNES";"2022-10-31";8;"Hurto";"Hurto automotor";"NO";"NO";"CHACARITA";15;-34.589889;-58.449518;1
42452;2022;"OCTUBRE";"MARTES";"2022-10-25";12;"Hurto";"Hurto total";"NO";"NO";"PATERNAL";15;-34.597788;-58.465943;1
42453;2022;"OCTUBRE";"MIERCOLES";"2022-10-26";22;"Hurto";"Hurto total";"NO";"NO";"PATERNAL";15;-34.59399;-58.46818;1
42454;2022;"NOVIEMBRE";"VIERNES";"2022-11-04";16;"Robo";"Robo total";"NO";"NO";"NUÑEZ";13;-34.541004;-58.468654;1
