"id-mapa";"anio";"mes";"dia";"fecha";"franja";"tipo";"subtipo";"uso_arma";"uso_moto";"barrio";"comuna";"latitud";"longitud";"cantidad"
192085;2020;"JUNIO";"MIERCOLES";"2020-06-10";20;"Hurto";"Hurto total";"NO";"NO";NULL;NULL;NULL;NULL;1
192086;2020;"AGOSTO";"VIERNES";"2020-08-21";11;"Hurto";"Hurto total";"NO";"NO";"PARQUE AVELLANEDA";9;-34.641905;-58.487037;1
192087;2020;"SEPTIEMBRE";"MARTES";"2020-09-15";20;"Hurto";"Hurto total";"NO";"NO";"PARQUE AVELLANEDA";9;-34.641899;-58.480738;1
192088;2020;"SEPTIEMBRE";"MARTES";"2020-09-22";10;"Robo";"Robo total";"SI";"NO";"PARQUE AVELLANEDA";9;-34.641043;-58.484628;1
192089;2020;"OCTUBRE";"MARTES";"2020-10-06";10;"Hurto";"Hurto total";"NO";"NO";"PARQUE AVELLANEDA";9;-34.641055;-58.484537;1
192090;2020;"OCTUBRE";"SABADO";"2020-10-31";10;"Robo";"Robo total";"NO";"NO";"PARQUE AVELLANEDA";9;-34.641899;-58.480738;1
192091;2020;"NOVIEMBRE";"MARTES";"2020-11-24";16;"Robo";"Robo total";"NO";"SI";"PARQUE AVELLANEDA";9;-34.64132;-58.485812;1
192092;2020;"DICIEMBRE";"MARTES";"2020-12-01";10;"Hurto";"Hurto total";"NO";"NO";"PARQUE AVELLANEDA";9;-34.640824;-58.483291;1
192093;2020;"MARZO";"MARTES";"2020-03-17";22;"Robo";"Robo total";"NO";"NO";NULL;NULL;NULL;NULL;1
192094;2020;"JULIO";"JUEVES";"2020-07-23";10;"Hurto";"Hurto total";"NO";"NO";"SAN NICOLAS";1;-34.599303;-58.383704;1
192095;2020;"FEBRERO";"SABADO";"2020-02-29";21;"Hurto";"Hurto total";"NO";"NO";"SAN NICOLAS";1;-34.600478;-58.385679;1
192096;2020;"DICIEMBRE";"DOMINGO";"2020-12-27";10;"Robo";"Robo total";"NO";"NO";"SAN NICOLAS";1;-34.600509;-58.38536;1
192097;2020;"SEPTIEMBRE";"MARTES";"2020-09-08";8;"Robo";"Robo total";"NO";"NO";"SAN NICOLAS";1;-34.600582;-58.385407;1
192098;2020;"FEBRERO";"SABADO";"2020-02-15";21;"Robo";"Robo total";"NO";"SI";"SAN NICOLAS";1;-34.600494;-58.385075;1
192099;2020;"ENERO";"LUNES";"2020-01-27";9;"Robo";"Robo total";"NO";"SI";"SAN NICOLAS";1;-34.600345;-58.38361;1
192100;2020;"MARZO";"DOMINGO";"2020-03-08";11;"Robo";"Robo total";"NO";"NO";"SAN NICOLAS";1;-34.600685;-58.385437;1
192101;2020;"MARZO";"JUEVES";"2020-03-05";13;"Hurto";"Hurto total";"NO";"NO";"SAN NICOLAS";1;-34.600315;-58.383155;1
192102;2020;"MARZO";"MARTES";"2020-03-17";13;"Hurto";"Hurto total";"NO";"NO";"SAN NICOLAS";1;-34.600425;-58.38472;1
192103;2020;"DICIEMBRE";"VIERNES";"2020-12-11";15;"Robo";"Robo total";"NO";"NO";"SAN NICOLAS";1;-34.60047;-58.384648;1
192104;2020;"MARZO";"JUEVES";"2020-03-19";1;"Robo";"Robo total";"NO";"NO";"SAN NICOLAS";1;-34.60047;-58.384648;1
192105;2020;"JUNIO";"MARTES";"2020-06-09";11;"Robo";"Robo total";"NO";"NO";"SAN NICOLAS";1;-34.599292;-58.383822;1
192106;2020;"ENERO";"LUNES";"2020-01-13";8;"Robo";"Robo total";"NO";"NO";"SAN NICOLAS";1;-34.603509;-58.385126;1
192107;2020;"JUNIO";"MARTES";"2020-06-16";19;"Hurto";"Hurto total";"NO";"NO";"SAN NICOLAS";1;-34.603154;-58.385145;1
192108;2020;"FEBRERO";"VIERNES";"2020-02-07";16;"Hurto";"Hurto total";"NO";"NO";"SAN NICOLAS";1;-34.603134;-58.385181;1
192109;2020;"ENERO";"VIERNES";"2020-01-17";15;"Robo";"Robo total";"SI";"NO";"SAN NICOLAS";1;-34.604956;-58.385099;1
192110;2020;"ENERO";"SABADO";"2020-01-18";19;"Hurto";"Hurto total";"NO";"NO";"SAN NICOLAS";1;-34.60391;-58.38514;1
192111;2020;"MAYO";"DOMINGO";"2020-05-24";20;"Robo";"Robo total";"NO";"NO";"SAN NICOLAS";1;-34.60391;-58.38514;1
192112;2020;"OCTUBRE";"VIERNES";"2020-10-23";22;"Hurto";"Hurto total";"NO";"NO";"SAN NICOLAS";1;-34.60391;-58.38514;1
